n,W,V,rep,instance,algorithm,profit,chosen_items,time_seconds,time_unit,status
700,100,100,5,instances/n700_w100_v100_r5.txt,dp,8453.0,13 103 151 159 245 257 270 360 392 449 482 531,0.082151653,seconds,
700,100,100,5,instances/n700_w100_v100_r5.txt,bt,8453.0,13 103 151 159 245 257 270 360 392 449 482 531,141.104728165,seconds,
700,100,100,5,instances/n700_w100_v100_r5.txt,bb,8453.0,13 103 151 159 245 257 270 360 392 449 482 531,7.434536726,seconds,
700,100,100,6,instances/n700_w100_v100_r6.txt,dp,7397.0,12 138 217 221 283 389 451 505 568 636,0.079614647,seconds,
700,100,100,6,instances/n700_w100_v100_r6.txt,bt,7397.0,12 138 217 221 283 389 451 505 568 636,1015.609046721,seconds,
700,100,100,6,instances/n700_w100_v100_r6.txt,bb,7397.0,12 138 217 221 283 389 451 505 568 636,241.751038875,seconds,
700,100,100,7,instances/n700_w100_v100_r7.txt,dp,8209.0,128 132 269 276 297 381 531 571 589 647 653 660 677,0.093403378,seconds,
700,100,100,7,instances/n700_w100_v100_r7.txt,bt,8209.0,128 132 269 276 297 381 531 571 589 647 653 660 677,1552.37386755,seconds,
700,100,100,7,instances/n700_w100_v100_r7.txt,bb,8209.0,128 132 269 276 297 381 531 571 589 647 653 660 677,255.361093769,seconds,
700,100,100,8,instances/n700_w100_v100_r8.txt,dp,8521.0,22 61 73 107 151 259 271 274 433 460 510 514 615,0.080396832,seconds,
700,100,100,8,instances/n700_w100_v100_r8.txt,bt,8521.0,10 22 107 151 259 271 274 433 460 510 514 615 645,584.552564832,seconds,
700,100,100,8,instances/n700_w100_v100_r8.txt,bb,8521.0,10 22 107 151 259 271 274 433 460 510 514 615 645,25.814935335,seconds,
700,100,100,9,instances/n700_w100_v100_r9.txt,dp,8413.0,85 139 214 294 378 395 448 465 552 573 652 654 682,0.063481482,seconds,
700,100,100,9,instances/n700_w100_v100_r9.txt,bt,8413.0,85 139 214 294 378 395 448 465 552 573 652 654 682,1108.853958739,seconds,
700,100,100,9,instances/n700_w100_v100_r9.txt,bb,8413.0,85 139 214 294 378 395 448 465 552 573 652 654 682,96.9901855,seconds,
